CRASH_DT,Latitude,Longitude,cloudiness,temperature,feels_like,pressure,humidity,wind_deg,wind_speed,rain,weather_desc,LOCATION,CRASH_DATE,DOW,Hour,zipcode
1645056000,29.658049291,-82.185156638,55.0,292.98,293.06,1027.0,78.0,93.0,4.08,0.0,broken clouds,Florida,2022-02-17 00:00:00,3,0,32641.0
1645056000,29.658049291,-82.151922019,55.0,292.98,293.06,1027.0,78.0,93.0,4.08,0.0,broken clouds,Florida,2022-02-17 00:00:00,3,0,32641.0
1644364800,29.658049291,-82.31958277,0.0,282.47,282.47,1021.0,76.0,0.0,0.0,0.0,clear sky,Florida,2022-02-09 00:00:00,2,0,32601.0
1643414400,29.658049291,-82.664771614,100.0,285.38,284.64,1015.0,76.0,311.0,4.29,0.0,overcast clouds,Florida,2022-01-29 00:00:00,5,0,
1643155200,29.658049291,-81.969856288,100.0,283.57,282.97,1016.0,88.0,94.0,1.24,0.0,overcast clouds,Florida,2022-01-26 00:00:00,2,0,
1643068800,29.658049291,-81.993341352,78.0,282.71,282.17,1015.0,60.0,255.0,1.62,0.0,broken clouds,Florida,2022-01-25 00:00:00,1,0,
1647734400,29.658049291,-80.239628098,,,,,,,,,,Florida,2022-03-20 00:00:00,6,0,
1647388800,29.658049291,-81.925179363,100.0,290.32,290.57,1019.0,95.0,51.0,1.79,0.0,overcast clouds,Florida,2022-03-16 00:00:00,2,0,32148.0
1646265600,29.658049291,-81.918899599,1.0,291.88,290.85,1019.0,40.0,27.0,1.32,0.0,clear sky,Florida,2022-03-03 00:00:00,3,0,32148.0
1646438400,29.658049291,-82.03995622,0.0,295.69,294.99,1025.0,38.0,82.0,3.95,0.0,clear sky,Florida,2022-03-05 00:00:00,5,0,
1651276800,29.658049291,-81.075069517,81.0,295.81,295.96,1017.0,70.0,160.0,5.81,0.0,broken clouds,Florida,2022-04-30 00:00:00,5,0,
1651104000,29.658049291,-81.045405501,84.0,295.58,296.2,1016.0,89.0,24.0,2.68,0.0,broken clouds,Florida,2022-04-28 00:00:00,3,0,
1650067200,29.658049291,-81.037548298,61.0,295.73,296.37,1017.0,89.0,337.0,2.24,0.0,broken clouds,Florida,2022-04-16 00:00:00,5,0,
1652227200,29.658049291,-81.871582521,0.0,296.42,296.08,1018.0,49.0,92.0,0.45,0.0,clear sky,Florida,2022-05-11 00:00:00,2,0,32148.0
1648512000,29.658049291,-81.818278684,3.0,296.97,296.97,1018.0,60.0,236.0,0.89,0.0,clear sky,Florida,2022-03-29 00:00:00,1,0,32147.0
1645920000,29.658049291,-82.30161167,0.0,297.43,297.56,1023.0,63.0,70.0,3.6,0.0,clear sky,Florida,2022-02-27 00:00:00,6,0,32641.0
1645142400,29.658049291,-82.335945883,20.0,297.31,297.53,1018.0,67.0,175.0,0.45,0.0,few clouds,Florida,2022-02-18 00:00:00,4,0,32601.0
1644624000,29.658049291,-82.414614775,0.0,289.49,288.77,1019.0,61.0,350.0,2.06,0.0,clear sky,Florida,2022-02-12 00:00:00,5,0,32669.0
1645315200,29.658049291,-82.322466133,0.0,287.25,285.71,1025.0,38.0,360.0,2.57,0.0,clear sky,Florida,2022-02-20 00:00:00,6,0,32601.0
1650153600,29.658049291,-81.807224421,53.0,298.4,298.96,1014.0,76.0,111.0,2.64,0.0,broken clouds,Florida,2022-04-17 00:00:00,6,0,32177.0
1648512000,29.658049291,-81.866211288,3.0,296.97,296.97,1018.0,60.0,236.0,0.89,0.0,clear sky,Florida,2022-03-29 00:00:00,1,0,32148.0
1645228800,29.658049291,-82.382924344,100.0,294.42,294.93,1018.0,89.0,260.0,3.6,0.0,overcast clouds,Florida,2022-02-19 00:00:00,5,0,
1647907200,29.658049291,-81.800377472,14.0,293.44,293.09,1021.0,60.0,84.0,0.45,0.0,few clouds,Florida,2022-03-22 00:00:00,1,0,32147.0
1647648000,29.658049291,-81.799878788,5.0,296.5,296.54,1017.0,63.0,11.0,3.13,0.0,clear sky,Florida,2022-03-19 00:00:00,5,0,32147.0
1651795200,29.658049291,-80.048784892,,,,,,,,,,Florida,2022-05-06 00:00:00,4,0,
1651363200,29.658049291,-80.068534312,,,,,,,,,,Florida,2022-05-01 00:00:00,6,0,
1651276800,29.658049291,-80.056895086,,,,,,,,,,Florida,2022-04-30 00:00:00,5,0,
1645315200,29.658049291,-80.055137677,,,,,,,,,,Florida,2022-02-20 00:00:00,6,0,
1646611200,29.658049291,-81.799286842,2.0,297.26,297.5,1022.0,68.0,118.0,4.73,0.0,clear sky,Florida,2022-03-07 00:00:00,0,0,32147.0
1646265600,29.658049291,-81.79962875,1.0,291.88,290.85,1019.0,40.0,27.0,1.32,0.0,clear sky,Florida,2022-03-03 00:00:00,3,0,32147.0
1645574400,29.658049291,-81.520476272,0.0,294.26,294.18,1014.0,67.0,104.0,3.12,0.0,clear sky,Florida,2022-02-23 00:00:00,2,0,
1643241600,29.658049291,-80.65207066,,,,,,,,,,Florida,2022-01-27 00:00:00,3,0,
1643155200,29.658049291,-80.705842999,90.0,283.67,282.74,1017.0,75.0,0.0,0.0,0.58,light rain,Florida,2022-01-26 00:00:00,2,0,
1651968000,29.658049291,-81.349459147,0.0,300.1,300.64,1005.0,52.0,284.0,4.02,0.0,clear sky,Florida,2022-05-08 00:00:00,6,0,32145.0
1651795200,29.658049291,-81.331291648,67.0,299.9,302.03,1013.0,76.0,145.0,3.13,0.0,broken clouds,Florida,2022-05-06 00:00:00,4,0,32145.0
1648512000,29.658049291,-81.331143613,5.0,296.49,296.73,1015.0,71.0,261.0,0.45,0.0,clear sky,Florida,2022-03-29 00:00:00,1,0,32145.0
1647475200,29.658049291,-81.385015614,27.0,295.53,296.04,1013.0,85.0,230.0,2.17,0.0,scattered clouds,Florida,2022-03-17 00:00:00,3,0,
1646438400,29.658049291,-81.365036894,0.0,291.41,291.2,1024.0,73.0,360.0,1.34,0.0,clear sky,Florida,2022-03-05 00:00:00,5,0,32145.0
1646438400,29.658049291,-81.337456845,0.0,291.41,291.2,1024.0,73.0,360.0,1.34,0.0,clear sky,Florida,2022-03-05 00:00:00,5,0,32145.0
1646524800,29.658049291,-81.651301907,0.0,294.77,294.74,1016.0,67.0,106.0,3.26,0.0,clear sky,Florida,2022-03-06 00:00:00,6,0,32177.0
1643760000,29.658049291,-84.363145963,72.0,287.66,286.92,1022.0,67.0,113.0,3.38,0.0,broken clouds,Florida,2022-02-02 00:00:00,2,0,
1644105600,29.658049291,-80.169327318,,,,,,,,,,Florida,2022-02-06 00:00:00,6,0,
1643587200,29.658049291,-80.551257158,,,,,,,,,,Florida,2022-01-31 00:00:00,0,0,
1641600000,29.658049291,-80.378334653,,,,,,,,,,Florida,2022-01-08 00:00:00,5,0,
1641168000,29.658049291,-80.353405283,,,,,,,,,,Florida,2022-01-03 00:00:00,0,0,
1643414400,29.658049291,-80.970767133,100.0,286.47,285.55,1012.0,65.0,305.0,3.13,0.0,overcast clouds,Florida,2022-01-29 00:00:00,5,0,
1648080000,29.658049291,-82.548497998,100.0,294.6,295.2,1013.0,92.0,224.0,4.74,1.78,moderate rain,Florida,2022-03-24 00:00:00,3,0,32669.0
1648080000,29.658049291,-82.563106611,100.0,294.6,295.2,1013.0,92.0,224.0,4.74,1.78,moderate rain,Florida,2022-03-24 00:00:00,3,0,32669.0
1646611200,29.658049291,-82.538079921,0.0,297.93,297.85,1022.0,53.0,145.0,2.82,0.0,clear sky,Florida,2022-03-07 00:00:00,0,0,32669.0
1646006400,29.658049291,-80.23249329,,,,,,,,,,Florida,2022-02-28 00:00:00,0,0,
1643760000,29.658049291,-81.890386387,52.0,288.21,287.47,1023.0,65.0,73.0,2.45,0.0,broken clouds,Florida,2022-02-02 00:00:00,2,0,32148.0
1642896000,29.658049291,-82.153327293,95.0,277.55,275.14,1023.0,73.0,23.0,2.74,0.0,overcast clouds,Florida,2022-01-23 00:00:00,6,0,32641.0
1648857600,29.658049291,-81.436365779,76.0,295.48,295.57,1006.0,69.0,45.0,0.69,0.0,broken clouds,Florida,2022-04-02 00:00:00,5,0,32145.0
1644105600,29.658049291,-81.745534171,79.0,283.69,282.84,1015.0,78.0,28.0,2.96,0.0,broken clouds,Florida,2022-02-06 00:00:00,6,0,32178.0
1642896000,29.658049291,-81.435914333,100.0,278.3,276.17,1023.0,77.0,25.0,2.57,0.0,overcast clouds,Florida,2022-01-23 00:00:00,6,0,32145.0
1645574400,29.658049291,-82.02187338,0.0,296.22,296.41,1023.0,70.0,105.0,2.41,0.0,clear sky,Florida,2022-02-23 00:00:00,2,0,
1650672000,29.658049291,-80.119832243,,,,,,,,,,Florida,2022-04-23 00:00:00,5,0,
1642204800,29.658049291,-81.921803419,7.0,283.72,282.4,1014.0,60.0,295.0,1.84,0.0,clear sky,Florida,2022-01-15 00:00:00,5,0,32148.0
1642636800,29.658049291,-82.767111334,32.0,287.14,286.42,1021.0,70.0,102.0,1.34,0.0,scattered clouds,Florida,2022-01-20 00:00:00,3,0,32693.0
1642291200,29.658049291,-82.748505577,8.0,288.66,287.49,1013.0,47.0,112.0,3.92,0.0,clear sky,Florida,2022-01-16 00:00:00,6,0,
1652054400,29.658049291,-82.561685128,26.0,299.48,299.48,1010.0,55.0,354.0,3.13,0.0,scattered clouds,Florida,2022-05-09 00:00:00,0,0,32669.0
1648771200,29.658049291,-82.727866511,95.0,292.19,292.58,1011.0,93.0,232.0,6.4,0.0,overcast clouds,Florida,2022-04-01 00:00:00,4,0,
1648512000,29.658049291,-82.727220485,2.0,294.81,294.81,1020.0,68.0,242.0,4.01,0.0,clear sky,Florida,2022-03-29 00:00:00,1,0,
1647907200,29.658049291,-82.727786511,19.0,294.82,294.37,1021.0,51.0,94.0,5.05,0.0,few clouds,Florida,2022-03-22 00:00:00,1,0,
1647475200,29.658049291,-82.731146568,10.0,293.62,293.63,1014.0,73.0,238.0,3.01,0.0,clear sky,Florida,2022-03-17 00:00:00,3,0,
1652054400,29.658049291,-81.498421937,23.0,295.73,295.74,1002.0,65.0,52.0,4.19,0.0,few clouds,Florida,2022-05-09 00:00:00,0,0,32145.0
1650499200,29.658049291,-81.454206358,14.0,294.31,293.97,1025.0,57.0,88.0,3.09,0.0,few clouds,Florida,2022-04-21 00:00:00,3,0,32145.0
1644883200,29.658049291,-82.795420007,67.0,283.33,281.76,1028.0,52.0,340.0,2.72,0.0,broken clouds,Florida,2022-02-15 00:00:00,1,0,
1644537600,29.658049291,-82.787157009,24.0,286.22,284.71,1019.0,43.0,344.0,0.92,0.0,few clouds,Florida,2022-02-11 00:00:00,4,0,32693.0
1648080000,29.658049291,-81.730640314,100.0,295.38,295.8,1004.0,82.0,234.0,3.32,0.0,overcast clouds,Florida,2022-03-24 00:00:00,3,0,
1643846400,29.658049291,-81.604872205,69.0,292.11,291.73,1011.0,64.0,122.0,3.32,0.0,broken clouds,Florida,2022-02-03 00:00:00,3,0,32131.0
